,date,sales,diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
0,2014-02-01,2872,-1.0,10.0,-882.0,179.0,-212.0,-522.0,-351.0,351.0,226.0,219.0,392.0,986.0,21.0
1,2014-03-01,3967,1095.0,-1.0,10.0,-882.0,179.0,-212.0,-522.0,-351.0,351.0,226.0,219.0,392.0,986.0
2,2014-04-01,4968,1001.0,1095.0,-1.0,10.0,-882.0,179.0,-212.0,-522.0,-351.0,351.0,226.0,219.0,392.0
3,2014-05-01,7614,2646.0,1001.0,1095.0,-1.0,10.0,-882.0,179.0,-212.0,-522.0,-351.0,351.0,226.0,219.0
4,2014-06-01,7768,154.0,2646.0,1001.0,1095.0,-1.0,10.0,-882.0,179.0,-212.0,-522.0,-351.0,351.0,226.0
5,2014-07-01,8460,692.0,154.0,2646.0,1001.0,1095.0,-1.0,10.0,-882.0,179.0,-212.0,-522.0,-351.0,351.0
6,2014-08-01,7698,-762.0,692.0,154.0,2646.0,1001.0,1095.0,-1.0,10.0,-882.0,179.0,-212.0,-522.0,-351.0
7,2014-09-01,6838,-860.0,-762.0,692.0,154.0,2646.0,1001.0,1095.0,-1.0,10.0,-882.0,179.0,-212.0,-522.0
8,2014-10-01,6434,-404.0,-860.0,-762.0,692.0,154.0,2646.0,1001.0,1095.0,-1.0,10.0,-882.0,179.0,-212.0
9,2014-11-01,6928,494.0,-404.0,-860.0,-762.0,692.0,154.0,2646.0,1001.0,1095.0,-1.0,10.0,-882.0,179.0
10,2014-12-01,4959,-1969.0,494.0,-404.0,-860.0,-762.0,692.0,154.0,2646.0,1001.0,1095.0,-1.0,10.0,-882.0
11,2015-01-01,4633,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0,692.0,154.0,2646.0,1001.0,1095.0,-1.0,10.0
12,2015-02-01,4835,202.0,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0,692.0,154.0,2646.0,1001.0,1095.0,-1.0
13,2015-03-01,6239,1404.0,202.0,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0,692.0,154.0,2646.0,1001.0,1095.0
14,2015-04-01,7035,796.0,1404.0,202.0,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0,692.0,154.0,2646.0,1001.0
15,2015-05-01,8026,991.0,796.0,1404.0,202.0,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0,692.0,154.0,2646.0
16,2015-06-01,7970,-56.0,991.0,796.0,1404.0,202.0,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0,692.0,154.0
